,t,open,high,low,close
15233,2024-08-09 13:30:00-04:00,1.09178,1.09203,1.09178,1.09198
15234,2024-08-09 13:45:00-04:00,1.09198,1.09206,1.09177,1.09185
15235,2024-08-09 14:00:00-04:00,1.09185,1.09191,1.0915,1.09165
15236,2024-08-09 14:15:00-04:00,1.09166,1.09201,1.09165,1.092
15237,2024-08-09 14:30:00-04:00,1.092,1.09234,1.092,1.0923
15238,2024-08-09 14:45:00-04:00,1.0923,1.09231,1.09194,1.09206
15239,2024-08-09 15:00:00-04:00,1.09206,1.09216,1.09183,1.09199
15240,2024-08-09 15:15:00-04:00,1.09199,1.09205,1.09173,1.09179
15241,2024-08-09 15:30:00-04:00,1.09175,1.09188,1.0917,1.09179
15242,2024-08-09 15:45:00-04:00,1.09179,1.09201,1.09179,1.09194
15243,2024-08-09 16:00:00-04:00,1.09193,1.0921,1.09185,1.09191
15244,2024-08-09 16:15:00-04:00,1.09192,1.09208,1.09182,1.09186
15245,2024-08-09 16:30:00-04:00,1.09186,1.09194,1.09171,1.09182
15246,2024-08-09 16:45:00-04:00,1.09181,1.09189,1.09178,1.09186
15247,2024-08-09 17:00:00-04:00,1.09186,1.09192,1.09166,1.09168
15248,2024-08-09 17:15:00-04:00,1.09168,1.09179,1.09167,1.09175
15249,2024-08-09 17:30:00-04:00,1.09175,1.09191,1.09156,1.09158
15250,2024-08-09 17:45:00-04:00,1.09157,1.09164,1.09143,1.09151
15251,2024-08-11 18:00:00-04:00,1.09146,1.09167,1.09136,1.0916
15252,2024-08-11 18:15:00-04:00,1.09162,1.09188,1.09162,1.09166
15253,2024-08-11 18:30:00-04:00,1.09169,1.09188,1.09164,1.09184
15254,2024-08-11 18:45:00-04:00,1.09181,1.09188,1.09178,1.0918
15255,2024-08-11 19:00:00-04:00,1.09186,1.09187,1.09123,1.0913
15256,2024-08-11 19:15:00-04:00,1.09132,1.09139,1.091,1.09106
15257,2024-08-11 19:30:00-04:00,1.09106,1.09139,1.09105,1.09131
15258,2024-08-11 19:45:00-04:00,1.0913,1.0914,1.09124,1.09129
15259,2024-08-11 20:00:00-04:00,1.09129,1.09151,1.09124,1.09133
15260,2024-08-11 20:15:00-04:00,1.09133,1.0915,1.09126,1.09148
15261,2024-08-11 20:30:00-04:00,1.09148,1.09149,1.09133,1.0914
15262,2024-08-11 20:45:00-04:00,1.0914,1.09145,1.09126,1.09127
15263,2024-08-11 21:00:00-04:00,1.09127,1.09176,1.09117,1.09176
15264,2024-08-11 21:15:00-04:00,1.09177,1.09189,1.09153,1.09158
15265,2024-08-11 21:30:00-04:00,1.09157,1.09182,1.09155,1.09179
15266,2024-08-11 21:45:00-04:00,1.09179,1.09196,1.09165,1.09182
